symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
BATAINDIA,0.2593,1198.0,1273.1,5.9,7.18,0.89,0.76,False,False,False,False,16.65
MEDANTA,0.2589,1331.0,1393.2,4.46,8.22,1.05,1.01,True,True,False,True,70.51
POWERINDIA,0.2588,19800.0,20525.0,3.53,11.04,0.97,0.68,True,True,False,False,200.01
ZENTEC,0.2575,1606.2,1925.0,16.56,19.85,0.68,0.3,False,False,True,False,48.74
SAREGAMA,0.2569,479.0,520.0,7.88,11.25,0.8,0.27,False,False,False,False,26.18
HAPPSTMNDS,0.2561,621.0,646.1,3.88,8.71,0.78,0.68,False,False,False,False,20.81
ABCAPITAL,0.2557,252.5,273.75,7.76,9.37,0.92,0.71,False,True,True,False,85.22
GLAND,0.2545,2100.0,2131.0,1.45,12.85,1.39,1.05,True,True,False,False,95.94
HEG,0.2542,525.0,563.0,6.75,13.04,1.03,0.48,True,True,False,False,50.71
TBOTEK,0.2532,1390.0,1458.0,4.66,10.58,0.84,0.34,False,False,False,False,17.32
SUNDARMFIN,0.2532,4752.0,5240.0,9.31,11.13,0.88,0.51,False,True,False,False,24.61
FSL,0.2529,332.45,363.6,8.57,10.87,0.71,0.47,False,False,False,False,28.49
CHAMBLFERT,0.2513,533.45,569.75,6.37,8.41,0.71,0.84,False,False,False,False,64.57
BALKRISIND,0.2511,2736.0,2801.3,2.33,7.69,1.22,0.97,False,True,False,False,117.65
SUMICHEM,0.2503,608.0,618.0,1.62,13.99,1.21,0.99,True,True,False,False,34.25
DEEPAKFERT,0.2497,1605.0,1658.3,3.21,11.28,0.99,0.68,True,True,False,False,70.18
CHOLAFIN,0.2495,1484.7,1587.8,6.49,8.34,0.86,0.97,False,True,False,False,308.69
KPIL,0.2486,1133.0,1243.9,8.92,10.57,0.75,0.48,False,False,False,True,23.38
CONCORDBIO,0.2477,1835.0,1980.0,7.32,10.02,0.82,0.49,False,False,False,False,33.58
GILLETTE,0.2477,10490.0,11500.0,8.78,11.43,1.13,0.49,True,True,False,False,33.43
SYRMA,0.2477,745.0,755.0,1.32,11.68,1.25,1.52,True,True,True,False,184.71
KIRLOSENG,0.2476,921.0,957.5,3.81,7.04,1.19,0.47,False,False,False,False,70.91
IRFC,0.2475,132.38,138.0,4.07,5.76,0.76,1.37,False,False,True,False,147.35
INDIAMART,0.2471,2585.0,2799.0,7.65,10.6,1.13,0.62,True,True,False,False,45.48
RAYMOND,0.2471,688.65,753.0,8.55,12.3,0.75,0.28,False,False,False,False,110.29
SUNTV,0.2454,573.95,614.0,6.52,9.13,0.89,0.54,False,False,False,False,17.18
NUVAMA,0.2451,7239.0,7895.0,8.31,10.48,0.91,0.62,False,True,False,False,152.72
HBLENGINE,0.2444,582.55,616.3,5.48,11.11,0.77,0.4,False,False,False,False,57.79
HAVELLS,0.2432,1516.0,1583.6,4.27,6.09,0.9,1.0,False,False,False,False,184.55
BLS,0.2432,373.5,390.5,4.35,9.45,0.88,0.52,False,False,False,False,65.26
TATAELXSI,0.2418,6086.0,6439.5,5.49,7.59,1.06,0.59,False,False,False,False,159.31
JSWINFRA,0.2412,311.95,328.5,5.04,8.13,1.03,1.14,True,True,False,False,65.62
ENGINERSIN,0.2388,217.0,251.8,13.82,17.51,0.95,0.38,False,True,False,False,96.13
NCC,0.2383,222.46,232.0,4.11,8.05,0.89,0.75,False,False,False,False,59.0
ALIVUS,0.238,1019.8,1102.7,7.52,9.18,0.95,0.51,False,False,True,False,8.83
UPL,0.2352,724.6,735.85,1.53,12.3,1.14,1.4,True,True,False,True,187.68
GRAPHITE,0.2347,552.0,597.9,7.68,11.41,0.93,0.52,False,True,False,False,47.64
VBL,0.2347,512.7,514.8,0.41,12.64,1.11,1.21,False,False,False,False,399.07
APARINDS,0.234,9716.0,9855.0,1.41,13.94,1.19,2.57,True,True,False,False,110.18
ADANIENSOL,0.2301,828.3,887.8,6.7,10.56,0.81,0.52,False,False,False,False,153.88
LTF,0.2294,205.9,214.8,4.14,7.8,1.08,1.32,True,True,True,True,188.63
BHEL,0.2275,241.1,259.75,7.18,10.58,0.83,0.51,False,False,False,False,103.02
SONATSOFTW,0.2274,409.95,447.3,8.35,11.75,0.82,0.35,False,False,False,False,63.72
JKTYRE,0.2263,343.95,381.8,9.91,13.58,0.89,0.22,False,False,False,False,22.64
BDL,0.2255,1621.0,1851.3,12.44,16.02,0.77,0.39,False,False,False,False,342.85
AMBER,0.2243,7833.0,8008.5,2.19,10.28,1.13,1.27,True,True,False,False,293.71
MOTHERSON,0.2237,102.55,105.95,3.21,8.75,0.98,0.93,True,False,False,False,142.89
GODIGIT,0.223,364.25,374.75,2.8,10.27,0.9,2.28,True,True,False,False,49.81
CERA,0.2226,6480.5,7100.0,8.73,10.42,0.92,0.45,False,False,False,True,28.95
NAM-INDIA,0.2226,810.0,876.7,7.61,11.31,1.04,0.77,True,True,False,False,74.51
TRENT,0.2221,5004.0,5470.0,8.52,10.24,0.59,0.89,False,False,False,False,677.09
HAL,0.2213,4518.0,4932.0,8.39,11.75,0.85,0.64,False,True,False,False,487.8
RELIANCE,0.2209,1416.6,1500.0,5.56,8.26,0.97,1.03,False,True,False,False,1548.66
DCMSHRIRAM,0.2205,1425.0,1502.3,5.15,11.12,1.43,0.61,True,True,False,False,105.96
HEROMOTOCO,0.2188,4331.0,4484.0,3.41,6.67,1.03,0.89,False,False,False,False,233.49
TATACONSUM,0.2184,1061.6,1109.7,4.33,6.15,1.09,1.94,False,True,False,False,132.52
RKFORGE,0.2183,600.0,679.3,11.67,13.64,0.87,0.3,False,False,False,False,38.51
KPITTECH,0.2177,1218.0,1300.9,6.37,9.93,0.76,0.76,False,False,False,True,88.8
PETRONET,0.2169,293.1,313.4,6.48,7.57,0.95,0.87,False,False,False,False,91.85
PVRINOX,0.216,988.25,1045.0,5.43,8.76,1.04,0.59,False,False,False,False,38.6
TARIL,0.2152,511.5,525.65,2.69,9.71,0.85,0.84,False,False,False,False,40.82
LTIM,0.2151,5048.0,5338.0,5.43,6.58,0.99,0.99,False,False,False,False,147.81
MAHSEAMLES,0.215,697.0,748.75,6.91,10.68,0.9,0.79,False,True,False,False,20.44
SYNGENE,0.2143,709.7,712.75,0.43,12.97,1.58,2.43,False,False,False,False,91.24
AIAENG,0.214,3183.4,3472.0,8.31,9.74,0.96,0.56,False,False,False,False,16.79
CRAFTSMAN,0.2138,6465.0,6688.0,3.33,12.19,1.08,0.66,True,True,False,False,41.74
HONASA,0.2137,266.25,301.0,11.54,15.21,0.83,0.39,False,False,False,True,12.33
PNCINFRA,0.2136,320.0,331.8,3.56,10.84,0.99,0.65,True,False,False,False,24.57
JBMA,0.2112,650.0,680.0,4.41,7.38,0.74,1.43,False,False,False,False,32.05
ACE,0.2109,1124.9,1199.0,6.18,10.78,0.82,0.59,False,False,False,False,15.61
SRF,0.2099,3109.0,3260.4,4.64,7.93,1.22,1.15,True,True,True,False,144.75
KPRMILL,0.2087,1148.0,1257.0,8.67,10.28,1.0,0.76,False,True,False,True,67.95
MANKIND,0.2082,2555.0,2716.5,5.95,7.81,1.29,0.88,False,True,False,False,225.65
OFSS,0.2056,8645.0,9034.5,4.31,6.12,0.92,1.2,False,False,True,True,106.08
UNIONBANK,0.2053,133.05,144.7,8.05,10.35,0.81,1.01,False,True,False,False,181.45
DELHIVERY,0.2029,422.25,449.45,6.05,10.75,1.05,0.96,True,True,False,False,125.35
POLYMED,0.1999,1975.0,2230.0,11.43,14.17,0.75,0.56,False,False,False,False,23.46
UBL,0.1997,1978.0,2110.0,6.26,8.49,0.9,2.21,False,True,False,False,36.22
DABUR,0.199,518.5,536.5,3.36,5.69,1.11,1.06,False,False,False,False,139.92
KEI,0.1987,3918.0,4034.4,2.89,10.78,0.99,1.11,True,True,False,False,147.67
ABB,0.1984,5590.0,5872.0,4.8,7.23,1.08,0.87,False,False,False,False,186.2
CROMPTON,0.1975,328.6,353.25,6.98,8.51,0.98,0.82,False,False,True,False,61.54
INDIACEM,0.1973,365.2,375.0,2.61,12.39,1.06,0.98,True,True,False,False,26.26
TANLA,0.1973,642.2,690.0,6.93,12.61,1.0,0.57,True,False,False,False,43.7
360ONE,0.1973,1083.8,1228.8,11.8,15.67,0.78,0.85,False,True,False,False,265.92
KIRLOSBROS,0.1973,1950.0,2257.9,13.64,18.1,0.99,0.28,False,False,False,False,56.02
GPPL,0.1957,160.01,168.2,4.87,8.69,0.92,0.87,False,False,False,False,23.27
CGCL,0.1955,181.8,190.3,4.47,9.15,1.05,0.64,False,False,False,False,85.65
VTL,0.195,462.5,506.6,8.71,10.92,0.9,0.57,False,False,True,False,35.01
PGEL,0.1946,807.0,836.45,3.52,9.69,0.93,0.72,False,False,False,False,172.37
CAMS,0.1946,3916.0,4289.0,8.7,10.65,0.87,0.65,False,False,False,False,128.68
TITAGARH,0.194,874.0,959.0,8.86,15.73,0.83,0.5,False,False,False,True,109.99
RAINBOW,0.1939,1530.0,1645.7,7.03,9.52,1.05,1.61,True,True,False,False,37.2
BASF,0.1924,5060.0,5260.0,3.8,8.13,1.05,0.81,False,False,False,False,10.75
SOBHA,0.1911,1562.0,1732.5,9.84,15.33,1.01,0.58,True,False,False,False,66.48
J&KBANK,0.1888,106.0,116.4,8.93,12.26,0.96,0.67,False,True,False,False,38.81
ANGELONE,0.1868,2649.0,2872.0,7.76,11.02,0.83,0.69,False,False,False,False,365.6
HSCL,0.1861,486.95,534.45,8.89,11.51,0.96,0.46,False,False,False,False,102.76
BLUESTARCO,0.1855,1743.0,1922.4,9.33,11.61,0.95,0.46,False,False,True,False,141.74
CRISIL,0.1852,5311.5,6130.0,13.35,16.1,0.92,0.44,False,False,False,False,28.15
AAVAS,0.1844,1760.0,2013.9,12.61,16.1,0.92,0.44,False,False,False,False,32.88
MAZDOCK,0.1836,2717.0,3149.5,13.73,18.57,0.71,0.71,False,False,False,False,447.89
