symbol,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr,ema_9,ema_50,above_ema_9,above_ema_50,ema_trend
ASTRAZEN,0.3425,8960.0,9650.5,7.16,9.24,0.95,0.18,False,True,False,False,34.15,9006.9,8977.22,False,False,bearish
OIL,0.3399,440.3,456.0,3.44,7.04,0.82,0.38,False,False,False,False,100.28,441.23,440.01,False,True,bearish
SUPREMEIND,0.3393,4314.6,4375.0,1.38,8.24,1.0,1.08,True,False,True,False,83.88,4245.52,4178.14,True,True,bullish
NAVA,0.3393,605.95,641.0,5.47,9.18,0.89,0.58,True,True,False,False,36.06,610.32,601.48,False,True,bearish
JUBLFOOD,0.3391,654.3,695.5,5.92,8.44,0.73,0.58,False,True,False,False,56.34,661.17,680.11,False,False,bearish
INDHOTEL,0.3378,748.05,777.4,3.78,7.04,0.84,0.67,False,True,False,True,220.43,750.43,746.38,False,True,bearish
LICI,0.3373,899.0,935.75,3.93,6.2,0.83,0.51,False,False,False,False,63.66,908.31,921.73,False,False,bearish
CAPLIPOINT,0.3357,2088.0,2150.3,2.9,7.15,0.76,0.51,False,False,False,False,12.53,2074.09,2061.05,True,True,bearish
BLUEDART,0.3347,6506.0,6940.0,6.25,7.53,0.79,0.37,False,False,False,False,16.52,6701.33,6624.63,False,False,bearish
BANKINDIA,0.3346,112.3,118.47,5.21,7.28,0.77,0.73,False,True,False,False,79.49,113.55,114.48,False,False,bearish
TATAMOTORS,0.3341,691.75,706.5,2.09,5.1,0.95,1.01,False,False,True,False,535.48,687.69,691.25,True,True,bullish
APTUS,0.3339,331.0,354.8,6.71,9.08,1.06,0.4,True,True,False,False,48.03,343.03,332.32,False,False,bearish
JYOTICNC,0.333,1032.0,1084.0,4.8,8.33,0.68,0.4,False,False,False,False,38.95,1033.5,1031.68,False,True,bearish
APOLLOTYRE,0.3312,455.5,473.0,3.7,5.83,0.94,0.46,False,False,False,True,60.99,455.51,457.91,True,False,bearish
ATGL,0.3309,629.5,666.9,5.61,7.77,0.72,0.45,False,False,False,False,34.6,639.43,649.27,False,False,bearish
EICHERMOT,0.3305,5479.5,5683.0,3.58,6.02,0.98,0.69,False,True,False,False,177.69,5485.19,5505.99,False,False,bearish
M&M,0.3299,3207.0,3303.0,2.91,7.78,0.99,0.76,True,True,True,False,638.41,3217.68,3179.23,False,True,bullish
UNOMINDA,0.3278,1075.0,1143.2,5.97,9.39,0.8,0.73,True,True,False,False,51.47,1078.94,1092.31,False,False,bearish
IIFL,0.3272,518.05,538.15,3.74,8.75,0.91,0.69,True,True,False,True,112.32,519.53,521.91,False,False,bearish
INDIANB,0.3271,630.0,657.0,4.11,5.54,1.02,1.03,True,True,True,True,113.03,633.36,632.43,False,False,bearish
TIINDIA,0.3238,2873.2,3005.0,4.39,7.35,0.74,0.53,False,False,False,False,77.17,2895.86,2903.04,False,False,bearish
IRCTC,0.3229,736.95,781.9,5.75,7.45,0.72,0.54,False,False,False,False,49.44,752.23,774.11,False,False,bearish
FINPIPE,0.3221,209.0,216.59,3.5,7.46,0.74,0.52,False,False,True,False,16.08,208.71,208.16,True,True,bullish
WELCORP,0.3221,924.0,946.75,2.4,9.67,1.1,0.64,True,True,False,False,67.09,906.02,924.0,True,True,bearish
STARHEALTH,0.321,425.6,452.0,5.84,7.97,0.82,0.35,False,False,False,False,26.19,430.47,429.14,False,False,bearish
LAURUSLABS,0.3208,910.5,913.7,0.35,13.78,1.25,2.6,True,True,False,False,266.59,852.69,811.96,True,True,bullish
KARURVYSYA,0.3204,259.05,276.95,6.46,8.63,0.89,0.77,True,True,False,False,69.2,265.62,270.18,False,False,bearish
BRITANNIA,0.3199,5650.0,5860.0,3.58,5.13,0.9,0.99,False,True,False,True,138.17,5676.11,5637.53,False,False,bearish
LEMONTREE,0.3186,150.68,158.9,5.17,6.9,1.29,0.65,True,True,False,False,67.36,153.94,156.53,False,False,bearish
TATAPOWER,0.3184,399.9,416.75,4.04,5.81,0.91,0.88,False,True,False,True,227.68,400.82,400.98,False,False,bearish
FEDERALBNK,0.3178,205.08,216.8,5.41,6.42,0.88,0.83,False,True,False,False,129.43,209.48,207.92,False,False,bearish
MINDACORP,0.3177,512.85,542.3,5.43,8.05,0.7,0.52,False,False,False,False,16.41,515.28,517.25,False,False,bearish
FIRSTCRY,0.3173,352.45,393.0,10.32,12.12,0.53,0.13,False,False,False,False,47.82,362.03,368.85,False,False,bearish
IREDA,0.3172,150.74,160.8,6.26,9.08,0.63,0.45,False,False,False,False,137.72,155.05,164.18,False,False,bearish
COCHINSHIP,0.3128,1778.0,1976.2,10.03,14.58,0.48,0.22,False,False,False,False,219.55,1835.95,1918.79,False,False,bearish
GLENMARK,0.3111,2165.7,2266.0,4.43,6.74,1.92,0.72,True,True,False,False,474.45,2142.96,1850.44,True,True,bullish
NBCC,0.3087,109.85,116.75,5.91,8.74,0.65,0.53,False,False,False,False,88.61,111.72,113.48,False,False,bearish
GESHIP,0.3086,957.05,1008.65,5.12,9.47,0.7,0.35,False,False,False,False,42.14,970.94,972.5,False,False,bearish
VOLTAS,0.3084,1333.3,1400.0,4.76,7.41,0.8,0.54,False,False,False,False,148.34,1347.62,1365.64,False,False,bearish
WELSPUNLIV,0.3084,136.75,144.56,5.4,8.78,0.7,0.45,False,False,False,False,54.25,138.18,141.39,False,False,bearish
EMAMILTD,0.3083,561.0,596.2,5.9,7.67,0.76,0.55,False,False,False,False,35.67,574.71,581.79,False,False,bearish
PNB,0.3066,109.46,115.71,5.4,8.64,1.08,0.62,True,True,False,False,220.81,109.75,110.16,False,False,bearish
GRSE,0.3066,2505.0,2798.6,10.49,14.99,0.52,0.21,False,False,False,False,279.09,2593.28,2697.87,False,False,bearish
UNITDSPR,0.3058,1317.0,1399.9,5.92,7.68,0.63,0.73,False,False,False,False,145.51,1337.38,1369.01,False,False,bearish
TATACHEM,0.3051,1000.0,1004.9,0.49,10.17,1.32,3.15,False,True,False,False,112.16,953.95,933.73,True,True,bullish
PAGEIND,0.305,47215.0,49380.0,4.38,6.88,0.95,0.75,False,True,False,False,87.88,47013.64,47815.02,True,False,bearish
BEL,0.3045,390.0,412.9,5.55,8.95,0.84,0.58,False,True,False,False,620.89,396.91,390.94,False,False,bearish
INDUSTOWER,0.304,390.0,409.8,4.83,7.14,0.99,0.67,False,True,False,False,179.58,396.29,401.2,False,False,bearish
AKUMS,0.3026,543.0,569.8,4.7,8.2,0.82,0.43,False,False,False,False,13.91,542.1,551.42,True,False,bearish
FACT,0.3025,944.0,997.0,5.32,10.22,0.79,0.47,False,True,False,False,68.13,949.83,936.92,False,True,bearish
JWL,0.3021,351.7,375.9,6.44,10.71,0.56,0.39,False,False,False,False,21.16,357.42,369.79,False,False,bearish
GODREJCP,0.3015,1213.0,1289.3,5.92,7.18,0.76,0.67,False,False,True,False,157.26,1229.29,1226.13,False,False,bearish
RAILTEL,0.2996,385.5,426.0,9.51,13.22,0.5,0.28,False,False,False,True,62.62,395.65,405.42,False,False,bearish
PFC,0.2985,411.45,432.0,4.76,7.45,0.84,0.54,False,False,False,False,244.59,416.04,425.15,False,False,bearish
GAIL,0.2958,183.2,188.89,3.01,5.84,0.75,0.91,False,False,False,False,213.19,184.17,186.39,False,False,bearish
POLICYBZR,0.2958,1794.0,1863.7,3.74,7.03,0.8,0.67,False,False,False,True,197.11,1797.06,1819.65,False,False,bearish
ADANIPOWER,0.2955,591.6,619.3,4.47,9.85,0.8,0.56,True,False,False,False,263.12,586.66,574.89,True,True,bearish
EMCURE,0.2947,1410.0,1458.0,3.29,12.26,0.96,0.34,True,True,False,True,61.04,1393.94,1302.56,True,True,bullish
IRCON,0.2941,182.45,195.25,6.56,11.6,0.57,0.28,False,False,False,False,60.85,184.4,190.75,False,False,bearish
ICICIGI,0.2939,1915.0,2052.0,6.68,8.46,1.01,0.5,False,True,False,False,123.78,1932.11,1975.01,False,False,bearish
TVSMOTOR,0.2916,2815.0,2909.8,3.26,6.43,0.94,0.92,False,True,True,True,161.19,2808.66,2825.5,False,False,bearish
REDINGTON,0.2914,288.3,313.9,8.16,10.32,0.78,0.53,False,True,False,False,54.35,297.99,299.53,False,False,bearish
ITI,0.291,302.0,326.9,7.62,11.71,0.66,0.17,False,False,False,False,8.15,306.56,315.35,False,False,bearish
CASTROLIND,0.2897,222.45,232.43,4.29,6.65,1.02,0.79,True,False,False,True,69.31,222.55,217.67,False,True,bearish
BAJAJFINSV,0.2893,1975.2,2063.2,4.27,6.6,0.87,0.98,False,True,False,False,231.18,2008.13,2008.56,False,False,bearish
