symbol,close,volume,high,low,open,ema_4,ema_9,ema_18,ema_50,ema_200,above_ema_9,above_ema_50,above_ema_200,ema_trend
SOLARINDS,14471.0,123437,14551.0,14360.0,14462.0,14558.88,14771.05,15067.21,15491.74,15784.22,False,False,False,bearish
DEEPAKFERT,1607.4,1109712,1618.9,1500.4,1510.0,1574.06,1578.08,1580.92,1580.69,1579.19,True,True,True,bearish
PFC,410.6,4343591,411.5,401.35,403.0,412.03,416.04,420.18,425.15,428.24,False,False,False,bearish
RECLTD,400.1,4454042,401.7,391.0,392.0,398.58,398.9,398.84,398.31,397.79,True,True,True,bearish
MPHASIS,2774.3,633100,2782.0,2687.0,2703.8,2726.16,2746.64,2782.7,2825.73,2851.3,True,False,False,bearish
MOTILALOFS,937.4,1865823,942.0,880.0,882.35,915.42,918.7,925.16,933.17,938.09,True,True,False,bearish
TITAN,3379.2,511042,3397.0,3355.6,3390.0,3413.32,3427.04,3426.96,3421.42,3416.89,False,False,False,bearish
HAPPSTMNDS,619.35,2778577,646.1,592.0,601.25,613.75,616.93,620.94,625.36,627.89,True,False,False,bearish
BAJAJ-AUTO,8127.5,209998,8146.0,8056.0,8089.5,8154.86,8212.41,8243.45,8266.81,8279.8,False,False,False,bearish
NAUKRI,1409.4,1203324,1419.1,1375.1,1419.1,1421.4,1422.38,1419.15,1418.02,1419.24,False,False,False,bearish
BAJAJFINSV,1972.6,847965,1984.5,1943.8,1977.8,1990.65,2009.18,2020.75,2031.16,2037.1,False,False,False,bearish
GODFRYPHLP,8942.5,184368,8995.0,8690.0,8800.0,8897.0,8964.67,8919.47,8749.38,8601.65,False,True,True,bearish
CGPOWER,659.05,2466461,661.55,645.5,657.0,664.25,669.98,673.23,675.68,676.87,False,False,False,bearish
BALKRISIND,2735.6,593468,2750.0,2668.7,2679.4,2718.41,2714.32,2697.5,2667.31,2645.38,True,True,True,bullish
FORTIS,850.6,1899113,854.5,840.2,846.65,843.41,828.66,811.67,791.15,778.43,True,True,True,bullish
MARICO,698.2,2285806,701.3,691.5,696.0,701.3,709.0,715.96,722.47,725.78,False,False,False,bearish
POONAWALLA,415.65,3715939,421.7,401.1,421.7,422.54,433.56,444.22,456.56,464.26,False,False,False,bearish
BEML,4063.4,377531,4081.9,3940.9,3992.7,4117.93,4241.36,4362.54,4495.87,4574.66,False,False,False,bearish
GODREJPROP,2155.1,709615,2167.7,2104.8,2107.1,2195.21,2244.55,2262.88,2263.97,2258.93,False,False,False,bearish
AUBANK,739.95,2061754,741.8,727.0,727.9,737.77,751.5,773.08,802.01,820.75,False,False,False,bearish
NTPCGREEN,105.97,14337930,109.8,105.26,108.27,106.73,107.69,108.32,108.49,108.34,False,False,False,bearish
LICHSGFIN,598.25,2526778,599.1,584.8,589.0,602.11,609.02,611.16,609.36,606.75,False,False,False,bearish
INDHOTEL,748.2,2019113,751.0,740.55,744.8,748.8,750.43,749.32,746.38,744.23,False,True,True,bearish
RVNL,359.5,4192933,362.0,352.0,354.0,362.72,368.89,374.33,380.08,383.42,False,False,False,bearish
PATANJALI,1887.1,791473,1898.5,1842.6,1846.0,1885.64,1873.91,1826.67,1745.45,1687.44,True,True,True,bullish
LTF,206.02,7218561,206.48,201.83,202.9,205.73,206.31,206.39,206.51,206.68,False,False,False,bearish
