symbol,reason,score,close,pivot,dist_to_pivot_pct,box_span_pct,atr_ratio,vol5_to_vol50,uptrend,within_20pct_high,nr7_today,inside_today,tv20_cr
SAGILITY,insufficient_history,,,,,,,,,,,,
SAIL,ranked,0.1002,126.14,138.75,9.09,12.25,0.96,1.2,False,True,False,False,165.07
SAILIFE,insufficient_history,,,,,,,,,,,,
SAMMAANCAP,ranked,0.1489,125.38,139.54,10.15,13.98,0.96,0.61,False,False,False,False,226.36
SAPPHIRE,ranked,0.05,326.3,368.0,11.33,14.63,1.21,1.59,False,True,True,False,73.62
SARDAEN,ranked,0.2775,445.1,460.45,3.33,7.0,1.05,0.48,False,False,False,False,16.14
SAREGAMA,ranked,0.2569,479.0,520.0,7.88,11.25,0.8,0.27,False,False,False,False,26.18
SBFC,ranked,0.1513,106.79,120.0,11.01,12.83,0.89,0.97,False,True,False,False,30.31
SBICARD,ranked,0.0664,819.95,1004.75,18.39,22.65,1.04,1.01,False,False,False,False,110.13
SBILIFE,ranked,0.4816,1833.2,1858.0,1.33,5.67,1.01,0.93,True,True,False,True,163.47
SBIN,ranked,0.2862,798.85,842.5,5.18,6.18,1.02,0.88,False,True,True,False,761.8
SCHAEFFLER,ranked,0.1486,4039.1,4374.9,7.68,9.9,0.98,1.2,False,True,False,False,40.83
SCHNEIDER,not_found_in_instruments,,,,,,,,,,,,
SCI,ranked,0.4118,215.6,226.54,4.83,7.05,0.6,0.22,False,False,False,False,46.61
SHREECEM,ranked,0.2855,30510.0,32490.0,6.09,7.8,1.06,0.59,False,True,True,False,78.54
SHRIRAMFIN,ranked,0.0852,639.0,688.0,7.12,13.51,1.03,1.64,False,True,False,False,364.28
SHYAMMETL,ranked,0.2621,989.1,999.9,1.08,16.27,1.19,2.43,True,True,False,False,59.07
SIEMENS,ranked,0.4001,3061.3,3164.0,3.25,4.82,0.73,0.47,False,False,False,False,139.78
SIGNATURE,ranked,0.0988,1130.0,1272.9,11.23,13.44,0.95,0.92,False,False,False,False,42.61
SJVN,below_price_floor,,96.47,,,,,,,,,,
SKFINDIA,ranked,0.4551,4830.0,5025.0,3.88,5.86,0.79,0.5,True,True,False,False,19.44
SOBHA,ranked,0.1911,1562.0,1732.5,9.84,15.33,1.01,0.58,True,False,False,False,66.48
SOLARINDS,ranked,0.3607,14482.0,15493.0,6.53,7.82,0.72,0.56,False,True,True,False,202.69
SONACOMS,ranked,0.1203,471.95,496.45,4.94,10.8,1.04,0.86,False,False,False,False,227.1
SONATSOFTW,ranked,0.2274,409.95,447.3,8.35,11.75,0.82,0.35,False,False,False,False,63.72
SRF,ranked,0.2099,3109.0,3260.4,4.64,7.93,1.22,1.15,True,True,True,False,144.75
STARHEALTH,ranked,0.321,425.6,452.0,5.84,7.97,0.82,0.35,False,False,False,False,26.19
SUMICHEM,ranked,0.2503,608.0,618.0,1.62,13.99,1.21,0.99,True,True,False,False,34.25
SUNDARMFIN,ranked,0.2532,4752.0,5240.0,9.31,11.13,0.88,0.51,False,True,False,False,24.61
SUNDRMFAST,ranked,0.2729,1010.0,1049.9,3.8,7.04,1.07,0.46,False,False,False,False,10.05
SUNPHARMA,ranked,0.6387,1718.0,1731.3,0.77,3.49,0.77,0.6,False,True,False,False,280.75
SUNTV,ranked,0.2454,573.95,614.0,6.52,9.13,0.89,0.54,False,False,False,False,17.18
SUPREMEIND,ranked,0.3393,4314.6,4375.0,1.38,8.24,1.0,1.08,True,False,True,False,83.88
SUZLON,below_price_floor,,61.98,,,,,,,,,,
SWANENERGY,ranked,0.0643,484.75,526.7,7.96,16.24,1.21,0.81,False,False,False,False,278.28
SWIGGY,insufficient_history,,,,,,,,,,,,
SWSOLAR,ranked,0.1698,291.0,341.0,14.66,21.25,0.91,0.54,False,False,False,False,126.51
SYNGENE,ranked,0.2143,709.7,712.75,0.43,12.97,1.58,2.43,False,False,False,False,91.24
SYRMA,ranked,0.2477,745.0,755.0,1.32,11.68,1.25,1.52,True,True,True,False,184.71
TANLA,ranked,0.1973,642.2,690.0,6.93,12.61,1.0,0.57,True,False,False,False,43.7
TARIL,ranked,0.2152,511.5,525.65,2.69,9.71,0.85,0.84,False,False,False,False,40.82
TATACHEM,ranked,0.3051,1000.0,1004.9,0.49,10.17,1.32,3.15,False,True,False,False,112.16
